 
# GREAT version 2.0.2	Species assembly: hg19	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
# Ontology summary statistics are provided in the footer.
#
# Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov	Regions	Genes
Human Phenotype	HP:0005562	Multiple renal cysts	224	1.886657e-1	1.000000e+0	1.000000e+0	4.785376e+0	2.089700e-1	1	1.004663e-3	4.807692e-3	154	1.139552e-1	1.000000e+0	1.000000e+0	8.338346e+0	1.199279e-1	1	7	3.289474e-3	1.428571e-1	32	CCND1
Human Phenotype	HP:0100678	Premature skin wrinkling	225	1.895203e-1	1.000000e+0	1.000000e+0	4.761386e+0	2.100229e-1	1	1.009725e-3	4.807692e-3	176	1.291414e-1	1.000000e+0	1.000000e+0	7.296053e+0	1.370604e-1	1	8	3.289474e-3	1.250000e-1	36	ZNF469
Human Phenotype	HP:0003474	Sensory impairment	226	1.906527e-1	1.000000e+0	1.000000e+0	2.503617e+0	7.988443e-1	2	3.840598e-3	9.615385e-3	251	1.677186e-1	1.000000e+0	1.000000e+0	2.714810e+0	7.366997e-1	2	43	6.578947e-3	4.651163e-2	33,57	ABHD12,LITAF
Human Phenotype	HP:0000107	Renal cysts	227	1.908725e-1	1.000000e+0	1.000000e+0	1.999068e+0	1.500699e+0	3	7.214899e-3	1.442308e-2	96	6.812111e-2	1.000000e+0	1.000000e+0	3.183732e+0	9.422904e-1	3	55	9.868421e-3	5.454545e-2	32,33,41	CCND1,MKKS,PEX13
Human Phenotype	HP:0003829	Incomplete penetrance	228	1.920373e-1	1.000000e+0	1.000000e+0	2.491622e+0	8.026901e-1	2	3.859087e-3	9.615385e-3	149	1.037801e-1	1.000000e+0	1.000000e+0	3.648026e+0	5.482417e-1	2	32	6.578947e-3	6.250000e-2	34,34	ATXN10,GLI2
Human Phenotype	HP:0001730	Progressive hearing impairment	229	1.952903e-1	1.000000e+0	1.000000e+0	4.604894e+0	2.171602e-1	1	1.044040e-3	4.807692e-3	298	2.012680e-1	1.000000e+0	1.000000e+0	4.489879e+0	2.227232e-1	1	13	3.289474e-3	7.692308e-2	30	ACTG1
Human Phenotype	HP:0003425	Segmental demyelination/remyelination on nerve biopsy	230	1.994424e-1	1.000000e+0	1.000000e+0	4.497861e+0	2.223279e-1	1	1.068884e-3	4.807692e-3	176	1.291414e-1	1.000000e+0	1.000000e+0	7.296053e+0	1.370604e-1	1	8	3.289474e-3	1.250000e-1	33	LITAF
Human Phenotype	HP:0002538	Abnormality of the cerebral cortex	231	2.001775e-1	1.000000e+0	1.000000e+0	1.951259e+0	1.537469e+0	3	7.391676e-3	1.442308e-2	97	7.723971e-2	1.000000e+0	1.000000e+0	3.019056e+0	9.936880e-1	3	58	9.868421e-3	5.172414e-2	31,33,34	GLI2,PEX13,WDR62
Human Phenotype	HP:0010442	Polydactyly	232	2.028446e-1	1.000000e+0	1.000000e+0	1.728144e+0	2.314622e+0	4	1.112799e-2	1.923077e-2	32	2.922959e-2	1.000000e+0	1.000000e+0	3.433437e+0	1.165014e+0	4	68	1.315789e-2	5.882353e-2	32,34,34,41	FBLN1,GLI2,MKKS,RPS19
Human Phenotype	HP:0010218	Congenital vertical talus	233	2.032210e-1	1.000000e+0	1.000000e+0	4.404240e+0	2.270539e-1	1	1.091605e-3	4.807692e-3	401	2.800024e-1	1.000000e+0	1.000000e+0	3.072022e+0	3.255185e-1	1	19	3.289474e-3	5.263158e-2	33	PEX13
Human Phenotype	HP:0002121	Absence seizures	234	2.046326e-1	1.000000e+0	1.000000e+0	4.370148e+0	2.288252e-1	1	1.100121e-3	4.807692e-3	154	1.139552e-1	1.000000e+0	1.000000e+0	8.338346e+0	1.199279e-1	1	7	3.289474e-3	1.428571e-1	31	WDR62
Human Phenotype	HP:0009701	Synostosis involving the metacarpal bones	235	2.054238e-1	1.000000e+0	1.000000e+0	4.351245e+0	2.298193e-1	1	1.104900e-3	4.807692e-3	132	9.850503e-2	1.000000e+0	1.000000e+0	9.728070e+0	1.027953e-1	1	6	3.289474e-3	1.666667e-1	34	FBLN1
Human Phenotype	HP:0009484	Deviation of the hand or of fingers of the hand	236	2.058330e-1	1.000000e+0	1.000000e+0	1.597558e+0	3.129776e+0	5	1.504700e-2	2.403846e-2	199	1.292945e-1	1.000000e+0	1.000000e+0	2.066139e+0	1.935978e+0	4	113	1.315789e-2	3.539823e-2	30,33,38,41,44	CLCF1,IGF1R,MKKS,PEX13
Human Phenotype	HP:0001680	Coarctation of aorta	237	2.075432e-1	1.000000e+0	1.000000e+0	4.301311e+0	2.324873e-1	1	1.117727e-3	4.807692e-3	176	1.291414e-1	1.000000e+0	1.000000e+0	7.296053e+0	1.370604e-1	1	8	3.289474e-3	1.250000e-1	32	RPS19
Human Phenotype	HP:0003302	Spondylolisthesis	238	2.098097e-1	1.000000e+0	1.000000e+0	4.249022e+0	2.353482e-1	1	1.131482e-3	4.807692e-3	132	9.850503e-2	1.000000e+0	1.000000e+0	9.728070e+0	1.027953e-1	1	6	3.289474e-3	1.666667e-1	36	ZNF469
Human Phenotype	HP:0003381	Demyelination	239	2.109268e-1	1.000000e+0	1.000000e+0	2.339659e+0	8.548255e-1	2	4.109738e-3	9.615385e-3	345	2.300925e-1	1.000000e+0	1.000000e+0	2.202582e+0	9.080252e-1	2	53	6.578947e-3	3.773585e-2	31,33	LITAF,NDUFS8
Human Phenotype	HP:0010702	Hypergammaglobulinemia	240	2.113211e-1	1.000000e+0	1.000000e+0	4.214775e+0	2.372606e-1	1	1.140676e-3	4.807692e-3	353	2.416529e-1	1.000000e+0	1.000000e+0	3.648026e+0	2.741208e-1	1	16	3.289474e-3	6.250000e-2	30	KRT9
Human Phenotype	HP:0100851	Abnormal emotion/affect behaviour	241	2.117752e-1	1.000000e+0	1.000000e+0	1.580536e+0	3.163483e+0	5	1.520905e-2	2.403846e-2	410	2.865613e-1	1.000000e+0	1.000000e+0	1.477682e+0	2.706943e+0	4	158	1.315789e-2	2.531646e-2	31,33,34,38,44	ATXN10,FTL,IGF1R,NDUFS8
Human Phenotype	HP:0001153	Septate vagina	242	2.135035e-1	1.000000e+0	1.000000e+0	4.166174e+0	2.400284e-1	1	1.153983e-3	4.807692e-3	154	1.139552e-1	1.000000e+0	1.000000e+0	8.338346e+0	1.199279e-1	1	7	3.289474e-3	1.428571e-1	41	MKKS
Human Phenotype	HP:0001877	Abnormality of erythrocytes	243	2.136751e-1	1.000000e+0	1.000000e+0	1.689827e+0	2.367106e+0	4	1.138032e-2	1.923077e-2	409	2.827389e-1	1.000000e+0	1.000000e+0	1.487094e+0	2.689811e+0	4	157	1.315789e-2	2.547771e-2	30,32,32,33	CCND1,RPS19,TGFB1,UMPS
Human Phenotype	HP:0000974	Hyperextensible skin	244	2.139735e-1	1.000000e+0	1.000000e+0	2.317001e+0	8.631848e-1	2	4.149927e-3	9.615385e-3	221	1.556133e-1	1.000000e+0	1.000000e+0	2.847240e+0	7.024346e-1	2	41	6.578947e-3	4.878049e-2	33,36	PEX13,ZNF469
Human Phenotype	HP:0002829	Arthralgia	245	2.141327e-1	1.000000e+0	1.000000e+0	4.152344e+0	2.408278e-1	1	1.157826e-3	4.807692e-3	430	3.044885e-1	1.000000e+0	1.000000e+0	2.779449e+0	3.597836e-1	1	21	3.289474e-3	4.761905e-2	32	TNFRSF1A
Human Phenotype	HP:0000969	Edema	246	2.148504e-1	1.000000e+0	1.000000e+0	1.881311e+0	1.594633e+0	3	7.666503e-3	1.442308e-2	218	1.496237e-1	1.000000e+0	1.000000e+0	2.244939e+0	1.336339e+0	3	78	9.868421e-3	3.846154e-2	30,32,41	MKKS,NR2E3,TNFRSF1A
Human Phenotype	HP:0000878	11 pairs of ribs	247	2.154217e-1	1.000000e+0	1.000000e+0	4.124264e+0	2.424675e-1	1	1.165709e-3	4.807692e-3	102	8.278639e-2	1.000000e+0	1.000000e+0	1.167368e+1	8.566276e-2	1	5	3.289474e-3	2.000000e-1	32	RPS19
Human Phenotype	HP:0003481	Segmental demyelination/remyelination	248	2.170876e-1	1.000000e+0	1.000000e+0	4.088466e+0	2.445905e-1	1	1.175916e-3	4.807692e-3	223	1.587399e-1	1.000000e+0	1.000000e+0	5.836842e+0	1.713255e-1	1	10	3.289474e-3	1.000000e-1	33	LITAF
Human Phenotype	HP:0000927	Abnormality of skeletal maturation	249	2.179015e-1	1.000000e+0	1.000000e+0	1.867521e+0	1.606408e+0	3	7.723114e-3	1.442308e-2	425	2.936879e-1	1.000000e+0	1.000000e+0	1.852966e+0	1.079351e+0	2	63	6.578947e-3	3.174603e-2	33,38,44	IGF1R,PEX13
Human Phenotype	HP:0002297	Red hair	250	2.187687e-1	1.000000e+0	1.000000e+0	4.052890e+0	2.467375e-1	1	1.186238e-3	4.807692e-3	83	6.679459e-2	1.000000e+0	1.000000e+0	1.459211e+1	6.853021e-2	1	4	3.289474e-3	2.500000e-1	36	ZNF469
Human Phenotype	HP:0000726	Dementia	251	2.193206e-1	1.000000e+0	1.000000e+0	2.278349e+0	8.778285e-1	2	4.220329e-3	9.615385e-3	345	2.300925e-1	1.000000e+0	1.000000e+0	2.202582e+0	9.080252e-1	2	53	6.578947e-3	3.773585e-2	33,34	ATXN10,FTL
Human Phenotype	HP:0001838	Vertical talus	252	2.199436e-1	1.000000e+0	1.000000e+0	4.028346e+0	2.482409e-1	1	1.193466e-3	4.807692e-3	456	3.281445e-1	1.000000e+0	1.000000e+0	2.537757e+0	3.940487e-1	1	23	3.289474e-3	4.347826e-2	33	PEX13
Human Phenotype	HP:0004353	Abnormality of pyrimidine metabolism	253	2.201647e-1	1.000000e+0	1.000000e+0	4.023756e+0	2.485240e-1	1	1.194827e-3	4.807692e-3	132	9.850503e-2	1.000000e+0	1.000000e+0	9.728070e+0	1.027953e-1	1	6	3.289474e-3	1.666667e-1	33	UMPS
Human Phenotype	HP:0000563	Keratoconus	254	2.211791e-1	1.000000e+0	1.000000e+0	4.002819e+0	2.498240e-1	1	1.201077e-3	4.807692e-3	207	1.440681e-1	1.000000e+0	1.000000e+0	6.485380e+0	1.541930e-1	1	9	3.289474e-3	1.111111e-1	36	ZNF469
Human Phenotype	HP:0006315	Single median maxillary incisor	255	2.224272e-1	1.000000e+0	1.000000e+0	3.977314e+0	2.514260e-1	1	1.208779e-3	4.807692e-3	102	8.278639e-2	1.000000e+0	1.000000e+0	1.167368e+1	8.566276e-2	1	5	3.289474e-3	2.000000e-1	34	GLI2
Human Phenotype	HP:0000940	Abnormality of the diaphyses	256	2.227886e-1	1.000000e+0	1.000000e+0	3.969984e+0	2.518902e-1	1	1.211011e-3	4.807692e-3	176	1.291414e-1	1.000000e+0	1.000000e+0	7.296053e+0	1.370604e-1	1	8	3.289474e-3	1.250000e-1	30	TGFB1
Human Phenotype	HP:0004359	Abnormality of fatty-acid metabolism	257	2.229311e-1	1.000000e+0	1.000000e+0	3.967098e+0	2.520735e-1	1	1.211892e-3	4.807692e-3	387	2.674390e-1	1.000000e+0	1.000000e+0	3.242690e+0	3.083859e-1	1	18	3.289474e-3	5.555556e-2	33	PEX13
Human Phenotype	HP:0002075	Dysdiadochokinesis	258	2.246640e-1	1.000000e+0	1.000000e+0	3.932313e+0	2.543032e-1	1	1.222612e-3	4.807692e-3	176	1.291414e-1	1.000000e+0	1.000000e+0	7.296053e+0	1.370604e-1	1	8	3.289474e-3	1.250000e-1	34	ATXN10
Human Phenotype	HP:0007107	Segmental demyelination	259	2.247713e-1	1.000000e+0	1.000000e+0	3.930177e+0	2.544415e-1	1	1.223276e-3	4.807692e-3	223	1.587399e-1	1.000000e+0	1.000000e+0	5.836842e+0	1.713255e-1	1	10	3.289474e-3	1.000000e-1	33	LITAF
Human Phenotype	HP:0001002	Decreased subcutaneous fat	260	2.249095e-1	1.000000e+0	1.000000e+0	3.927430e+0	2.546194e-1	1	1.224132e-3	4.807692e-3	285	1.873356e-1	1.000000e+0	1.000000e+0	4.864035e+0	2.055906e-1	1	12	3.289474e-3	8.333333e-2	30	TGFB1
Human Phenotype	HP:0002089	Pulmonary hypoplasia	261	2.254157e-1	1.000000e+0	1.000000e+0	2.235929e+0	8.944830e-1	2	4.300399e-3	9.615385e-3	251	1.677186e-1	1.000000e+0	1.000000e+0	2.714810e+0	7.366997e-1	2	43	6.578947e-3	4.651163e-2	33,41	MKKS,PEX13
Human Phenotype	HP:0000966	Hypohidrosis	262	2.261477e-1	1.000000e+0	1.000000e+0	3.902951e+0	2.562164e-1	1	1.231809e-3	4.807692e-3	333	2.284227e-1	1.000000e+0	1.000000e+0	3.891228e+0	2.569883e-1	1	15	3.289474e-3	6.666667e-2	30	NFKBIA
Human Phenotype	HP:0001903	Anemia	263	2.262847e-1	1.000000e+0	1.000000e+0	1.830846e+0	1.638587e+0	3	7.877822e-3	1.442308e-2	462	3.292283e-1	1.000000e+0	1.000000e+0	1.483943e+0	2.021641e+0	3	118	9.868421e-3	2.542373e-2	30,32,33	RPS19,TGFB1,UMPS
Human Phenotype	HP:0002373	Febrile seizures	264	2.280060e-1	1.000000e+0	1.000000e+0	3.866712e+0	2.586176e-1	1	1.243354e-3	4.807692e-3	176	1.291414e-1	1.000000e+0	1.000000e+0	7.296053e+0	1.370604e-1	1	8	3.289474e-3	1.250000e-1	30	AUH
Human Phenotype	HP:0010929	Abnormality of cation homeostasis	265	2.300182e-1	1.000000e+0	1.000000e+0	2.204983e+0	9.070364e-1	2	4.360752e-3	9.615385e-3	438	3.126961e-1	1.000000e+0	1.000000e+0	1.768740e+0	1.130748e+0	2	66	6.578947e-3	3.030303e-2	30,33	FTL,WNK1
Human Phenotype	HP:0000004	Onset and clinical course	266	2.328271e-1	1.000000e+0	1.000000e+0	1.219347e+0	1.394189e+1	17	6.702833e-2	8.173077e-2	172	1.206922e-1	1.000000e+0	1.000000e+0	1.381501e+0	1.158161e+1	16	676	5.263158e-2	2.366864e-2	30,30,30,30,31,31,32,32,32,33,33,34,34,38,41,44,57	ABHD12,ATXN10,AUH,ENO3,FTL,GLI2,IGF1R,KRT81,LDHA,LITAF,NDUFS8,NFKBIA,RPS19,TGFB1,TNFRSF1A,WNK1
Human Phenotype	HP:0002167	Neurological speech impairment	267	2.331175e-1	1.000000e+0	1.000000e+0	1.454891e+0	4.124020e+0	6	1.982702e-2	2.884615e-2	148	1.029681e-1	1.000000e+0	1.000000e+0	1.872784e+0	3.203787e+0	6	187	1.973684e-2	3.208556e-2	30,31,33,34,41,57	ABHD12,ATXN10,AUH,FTL,MKKS,NDUFS8
Human Phenotype	HP:0001001	Abnormality of subcutaneous fat tissue	268	2.334259e-1	1.000000e+0	1.000000e+0	3.764292e+0	2.656542e-1	1	1.277184e-3	4.807692e-3	333	2.284227e-1	1.000000e+0	1.000000e+0	3.891228e+0	2.569883e-1	1	15	3.289474e-3	6.666667e-2	30	TGFB1
Human Phenotype	HP:0006703	Aplasia/Hypoplasia of the lungs	269	2.359048e-1	1.000000e+0	1.000000e+0	2.166689e+0	9.230676e-1	2	4.437825e-3	9.615385e-3	267	1.738306e-1	1.000000e+0	1.000000e+0	2.653110e+0	7.538323e-1	2	44	6.578947e-3	4.545455e-2	33,41	MKKS,PEX13
Human Phenotype	HP:0000962	Hyperkeratosis	270	2.363458e-1	1.000000e+0	1.000000e+0	2.163875e+0	9.242677e-1	2	4.443595e-3	9.615385e-3	381	2.618751e-1	1.000000e+0	1.000000e+0	2.012704e+0	9.936880e-1	2	58	6.578947e-3	3.448276e-2	30,31	KRT81,KRT9
Human Phenotype	HP:0003743	Genetic anticipation	271	2.365279e-1	1.000000e+0	1.000000e+0	3.707773e+0	2.697037e-1	1	1.296652e-3	4.807692e-3	253	1.731609e-1	1.000000e+0	1.000000e+0	5.306220e+0	1.884581e-1	1	11	3.289474e-3	9.090909e-2	34	ATXN10
Human Phenotype	HP:0001591	Bell-shaped chest	272	2.377662e-1	1.000000e+0	1.000000e+0	3.685620e+0	2.713248e-1	1	1.304446e-3	4.807692e-3	253	1.731609e-1	1.000000e+0	1.000000e+0	5.306220e+0	1.884581e-1	1	11	3.289474e-3	9.090909e-2	33	PEX13
Human Phenotype	HP:0011146	Dialeptic seizures	273	2.379343e-1	1.000000e+0	1.000000e+0	3.682630e+0	2.715451e-1	1	1.305505e-3	4.807692e-3	223	1.587399e-1	1.000000e+0	1.000000e+0	5.836842e+0	1.713255e-1	1	10	3.289474e-3	1.000000e-1	31	WDR62
Human Phenotype	HP:0008365	Abnormality of the talus	274	2.382521e-1	1.000000e+0	1.000000e+0	3.676989e+0	2.719617e-1	1	1.307508e-3	4.807692e-3	468	3.396701e-1	1.000000e+0	1.000000e+0	2.432018e+0	4.111812e-1	1	24	3.289474e-3	4.166667e-2	33	PEX13
Human Phenotype	HP:0000353	Facial muscle weakness, mild	275	2.401950e-1	1.000000e+0	1.000000e+0	3.642826e+0	2.745122e-1	1	1.319770e-3	4.807692e-3	132	9.850503e-2	1.000000e+0	1.000000e+0	9.728070e+0	1.027953e-1	1	6	3.289474e-3	1.666667e-1	30	CLCF1
Human Phenotype	HP:0002694	Sclerotic skull base	276	2.402021e-1	1.000000e+0	1.000000e+0	3.642702e+0	2.745215e-1	1	1.319815e-3	4.807692e-3	102	8.278639e-2	1.000000e+0	1.000000e+0	1.167368e+1	8.566276e-2	1	5	3.289474e-3	2.000000e-1	30	TGFB1
Human Phenotype	HP:0009771	Osteolytic defects of the phalanges of the hand	277	2.409769e-1	1.000000e+0	1.000000e+0	3.629232e+0	2.755404e-1	1	1.324714e-3	4.807692e-3	223	1.587399e-1	1.000000e+0	1.000000e+0	5.836842e+0	1.713255e-1	1	10	3.289474e-3	1.000000e-1	30	WNK1
Human Phenotype	HP:0000457	Flat nose	278	2.431201e-1	1.000000e+0	1.000000e+0	3.592415e+0	2.783642e-1	1	1.338290e-3	4.807692e-3	253	1.731609e-1	1.000000e+0	1.000000e+0	5.306220e+0	1.884581e-1	1	11	3.289474e-3	9.090909e-2	32	RPS19
Human Phenotype	HP:0002073	Progressive cerebellar ataxia	279	2.441405e-1	1.000000e+0	1.000000e+0	3.575113e+0	2.797115e-1	1	1.344767e-3	4.807692e-3	223	1.587399e-1	1.000000e+0	1.000000e+0	5.836842e+0	1.713255e-1	1	10	3.289474e-3	1.000000e-1	34	ATXN10
Human Phenotype	HP:0008064	Ichthyosiform abnormality of the skin	280	2.448736e-1	1.000000e+0	1.000000e+0	3.562768e+0	2.806806e-1	1	1.349426e-3	4.807692e-3	430	3.044885e-1	1.000000e+0	1.000000e+0	2.779449e+0	3.597836e-1	1	21	3.289474e-3	4.761905e-2	49	ALOXE3
Human Phenotype	HP:0011040	Abnormality of the intrahepatic bile duct	281	2.463895e-1	1.000000e+0	1.000000e+0	3.537478e+0	2.826873e-1	1	1.359074e-3	4.807692e-3	253	1.731609e-1	1.000000e+0	1.000000e+0	5.306220e+0	1.884581e-1	1	11	3.289474e-3	9.090909e-2	33	PEX13
Human Phenotype	HP:0005469	Flat occiput	282	2.489148e-1	1.000000e+0	1.000000e+0	3.496022e+0	2.860394e-1	1	1.375189e-3	4.807692e-3	333	2.284227e-1	1.000000e+0	1.000000e+0	3.891228e+0	2.569883e-1	1	15	3.289474e-3	6.666667e-2	33	PEX13
Human Phenotype	HP:0000972	Palmoplantar hyperkeratosis	283	2.489252e-1	1.000000e+0	1.000000e+0	3.495854e+0	2.860531e-1	1	1.375255e-3	4.807692e-3	414	2.923510e-1	1.000000e+0	1.000000e+0	2.918421e+0	3.426510e-1	1	20	3.289474e-3	5.000000e-2	30	KRT9
Human Phenotype	HP:0000871	Panhypopituitarism	284	2.496192e-1	1.000000e+0	1.000000e+0	3.484609e+0	2.869763e-1	1	1.379694e-3	4.807692e-3	102	8.278639e-2	1.000000e+0	1.000000e+0	1.167368e+1	8.566276e-2	1	5	3.289474e-3	2.000000e-1	34	GLI2
Human Phenotype	HP:0002282	Heterotopia	285	2.501905e-1	1.000000e+0	1.000000e+0	3.475398e+0	2.877368e-1	1	1.383350e-3	4.807692e-3	414	2.923510e-1	1.000000e+0	1.000000e+0	2.918421e+0	3.426510e-1	1	20	3.289474e-3	5.000000e-2	33	PEX13
Human Phenotype	HP:0002697	Parietal foramina	286	2.523093e-1	1.000000e+0	1.000000e+0	3.441597e+0	2.905628e-1	1	1.396936e-3	4.807692e-3	132	9.850503e-2	1.000000e+0	1.000000e+0	9.728070e+0	1.027953e-1	1	6	3.289474e-3	1.666667e-1	32	RPS19
Human Phenotype	HP:0000655	Vitreoretinal degeneration	287	2.525662e-1	1.000000e+0	1.000000e+0	3.437538e+0	2.909059e-1	1	1.398586e-3	4.807692e-3	132	9.850503e-2	1.000000e+0	1.000000e+0	9.728070e+0	1.027953e-1	1	6	3.289474e-3	1.666667e-1	30	NR2E3
Human Phenotype	HP:0000518	Cataract	288	2.531375e-1	1.000000e+0	1.000000e+0	1.474661e+0	3.390611e+0	5	1.630101e-2	2.403846e-2	170	1.181661e-1	1.000000e+0	1.000000e+0	1.932729e+0	2.587015e+0	5	151	1.644737e-2	3.311258e-2	30,33,33,41,57	ABHD12,FTL,MKKS,NR2E3,PEX13
Human Phenotype	HP:0000719	Inappropriate behavior	289	2.539024e-1	1.000000e+0	1.000000e+0	3.416552e+0	2.926928e-1	1	1.407177e-3	4.807692e-3	333	2.284227e-1	1.000000e+0	1.000000e+0	3.891228e+0	2.569883e-1	1	15	3.289474e-3	6.666667e-2	33	FTL
Human Phenotype	HP:0100007	Neoplasia of the peripheral nervous system	290	2.562611e-1	1.000000e+0	1.000000e+0	3.380039e+0	2.958546e-1	1	1.422378e-3	4.807692e-3	333	2.284227e-1	1.000000e+0	1.000000e+0	3.891228e+0	2.569883e-1	1	15	3.289474e-3	6.666667e-2	32	CCND1
Human Phenotype	HP:0009777	Aplasia of the thumb	291	2.579563e-1	1.000000e+0	1.000000e+0	3.354205e+0	2.981332e-1	1	1.433333e-3	4.807692e-3	253	1.731609e-1	1.000000e+0	1.000000e+0	5.306220e+0	1.884581e-1	1	11	3.289474e-3	9.090909e-2	32	RPS19
Human Phenotype	HP:0000608	Macular degeneration	292	2.586489e-1	1.000000e+0	1.000000e+0	3.343747e+0	2.990657e-1	1	1.437816e-3	4.807692e-3	318	2.149624e-1	1.000000e+0	1.000000e+0	4.169173e+0	2.398557e-1	1	14	3.289474e-3	7.142857e-2	30	NR2E3
Human Phenotype	HP:0001787	Abnormal delivery	293	2.588896e-1	1.000000e+0	1.000000e+0	3.340124e+0	2.993900e-1	1	1.439375e-3	4.807692e-3	442	3.164185e-1	1.000000e+0	1.000000e+0	2.653110e+0	3.769161e-1	1	22	3.289474e-3	4.545455e-2	33	PEX13
Human Phenotype	HP:0000072	Hydroureter	294	2.597018e-1	1.000000e+0	1.000000e+0	3.327953e+0	3.004850e-1	1	1.444639e-3	4.807692e-3	154	1.139552e-1	1.000000e+0	1.000000e+0	8.338346e+0	1.199279e-1	1	7	3.289474e-3	1.428571e-1	41	MKKS
Human Phenotype	HP:0100834	Neoplasia of the large intestine	295	2.599922e-1	1.000000e+0	1.000000e+0	3.323620e+0	3.008768e-1	1	1.446523e-3	4.807692e-3	430	3.044885e-1	1.000000e+0	1.000000e+0	2.779449e+0	3.597836e-1	1	21	3.289474e-3	4.761905e-2	32	RPS19
Human Phenotype	HP:0003676	Progressive disorder	296	2.601241e-1	1.000000e+0	1.000000e+0	2.022578e+0	9.888372e-1	2	4.754025e-3	9.615385e-3	381	2.618751e-1	1.000000e+0	1.000000e+0	2.012704e+0	9.936880e-1	2	58	6.578947e-3	3.448276e-2	31,33	FTL,NDUFS8
Human Phenotype	HP:0008872	Feeding problems in infancy	297	2.646387e-1	1.000000e+0	1.000000e+0	3.255565e+0	3.071663e-1	1	1.476761e-3	4.807692e-3	154	1.139552e-1	1.000000e+0	1.000000e+0	8.338346e+0	1.199279e-1	1	7	3.289474e-3	1.428571e-1	30	CLCF1
Human Phenotype	HP:0001006	Hypotrichosis	298	2.647168e-1	1.000000e+0	1.000000e+0	3.254441e+0	3.072724e-1	1	1.477271e-3	4.807692e-3	387	2.674390e-1	1.000000e+0	1.000000e+0	3.242690e+0	3.083859e-1	1	18	3.289474e-3	5.555556e-2	31	KRT81
Human Phenotype	HP:0003103	Abnormality of cortical bone	299	2.647967e-1	1.000000e+0	1.000000e+0	3.253293e+0	3.073809e-1	1	1.477793e-3	4.807692e-3	298	2.012680e-1	1.000000e+0	1.000000e+0	4.489879e+0	2.227232e-1	1	13	3.289474e-3	7.692308e-2	30	TGFB1
Human Phenotype	HP:0009466	Radial deviation of fingers	300	2.659146e-1	1.000000e+0	1.000000e+0	1.531815e+0	2.611281e+0	4	1.255423e-2	1.923077e-2	273	1.787486e-1	1.000000e+0	1.000000e+0	2.060062e+0	1.456267e+0	3	85	9.868421e-3	3.529412e-2	30,38,41,44	CLCF1,IGF1R,MKKS
Human Phenotype	HP:0000846	Adrenal insufficiency	301	2.675144e-1	1.000000e+0	1.000000e+0	3.214621e+0	3.110787e-1	1	1.495571e-3	4.807692e-3	353	2.416529e-1	1.000000e+0	1.000000e+0	3.648026e+0	2.741208e-1	1	16	3.289474e-3	6.250000e-2	33	PEX13
Human Phenotype	HP:0000803	Renal cortical cysts	302	2.676664e-1	1.000000e+0	1.000000e+0	3.212480e+0	3.112860e-1	1	1.496567e-3	4.807692e-3	353	2.416529e-1	1.000000e+0	1.000000e+0	3.648026e+0	2.741208e-1	1	16	3.289474e-3	6.250000e-2	33	PEX13
Human Phenotype	HP:0011096	Peripheral demyelination	303	2.679386e-1	1.000000e+0	1.000000e+0	3.208654e+0	3.116571e-1	1	1.498352e-3	4.807692e-3	366	2.546571e-1	1.000000e+0	1.000000e+0	3.433437e+0	2.912534e-1	1	17	3.289474e-3	5.882353e-2	33	LITAF
Human Phenotype	HP:0001592	Selective tooth agenesis	304	2.694283e-1	1.000000e+0	1.000000e+0	3.187849e+0	3.136911e-1	1	1.508131e-3	4.807692e-3	207	1.440681e-1	1.000000e+0	1.000000e+0	6.485380e+0	1.541930e-1	1	9	3.289474e-3	1.111111e-1	34	GLI2
Human Phenotype	HP:0008368	Synostosis involving tarsal bones	305	2.717469e-1	1.000000e+0	1.000000e+0	3.155918e+0	3.168650e-1	1	1.523389e-3	4.807692e-3	207	1.440681e-1	1.000000e+0	1.000000e+0	6.485380e+0	1.541930e-1	1	9	3.289474e-3	1.111111e-1	34	FBLN1
Human Phenotype	HP:0009485	Radial deviation of the hand or of fingers of the hand	306	2.725793e-1	1.000000e+0	1.000000e+0	1.514212e+0	2.641638e+0	4	1.270018e-2	1.923077e-2	280	1.830306e-1	1.000000e+0	1.000000e+0	2.036108e+0	1.473399e+0	3	86	9.868421e-3	3.488372e-2	30,38,41,44	CLCF1,IGF1R,MKKS
Human Phenotype	HP:0000750	Impaired language development	307	2.727296e-1	1.000000e+0	1.000000e+0	1.513820e+0	2.642321e+0	4	1.270347e-2	1.923077e-2	173	1.222414e-1	1.000000e+0	1.000000e+0	2.466271e+0	1.216411e+0	3	71	9.868421e-3	4.225352e-2	30,38,41,44	AUH,IGF1R,MKKS
Human Phenotype	HP:0005306	Capillary hemangiomas	308	2.727964e-1	1.000000e+0	1.000000e+0	3.141641e+0	3.183050e-1	1	1.530312e-3	4.807692e-3	298	2.012680e-1	1.000000e+0	1.000000e+0	4.489879e+0	2.227232e-1	1	13	3.289474e-3	7.692308e-2	32	CCND1
